"correlation_high"	"Transcript_ID"	"Locus_ID"	"Description"	"RAP.DB.Gene.Symbol.Synonym.s."	"RAP.DB.Gene.Name.Synonym.s."	"CGSNL.Gene.Symbol"	"CGSNL.Gene.Name"	"Oryzabase.Gene.Symbol.Synonym.s."	"Oryzabase.Gene.Name.Synonym.s."	"GO"	"InterPro"	"Transcript.evidence"	"ORF.evidence"	"Curation.Date"	"Literature.PMID"	"FLcDNA.clone.ID"	"Oryzabase.Trait.Gene.ID"	"A.thaliana_gene_id"	"Reciprocal_flag"	"Type"	"Short_description"	"Curator_summary"	"Computational_description"	"gene.alias"	"Note"	"symbol"	"Alias"	"full_name"	"computational_description"	"Dbxref"	"locus_type"	"curator_summary"	"description"	"nochangenat.description"	"NormalizationGroup"
0.51	"Os03t0381300-01"	"Os03g0381300"	"CS domain domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"CS-like domain (IPR007052), HSP20-like chaperone (IPR008978), CS domain (IPR017447)"	"AK068105 (DDBJ, Best hit)"	"Q3I0N3 (UniProt)"	"-"	"-"	"J013131N05"	"-"	"AT4G02450.1"	"1"	"protein_coding"	"HSP20-like chaperones superfamily protein"	"\"Encodes one of two isoforms of a co-chaperone of HSP90 that is required for root growth, in particular in the maintenance of the root meristem.\""	"\"HSP20-like chaperones superfamily protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), HSP20-like chaperone (InterPro:IPR008978), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT3G03773.1)\""	"p23-1"	"HSP20-like chaperones superfamily protein"	"-"	"-"	"-"	"HSP20-like chaperones superfamily protein%3B FUNCTIONS IN: molecular_function unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C HSP20-like chaperone (InterPro:IPR008978)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT3G03773.1)%3B Has 51861 Blast hits to 12232 proteins in 1049 species: Archae - 75%3B Bacteria - 28612%3B Metazoa - 10233%3B Fungi - 1929%3B Plants - 4069%3B Viruses - 438%3B Other Eukaryotes - 6505 (source: NCBI BLink)."	"\"PMID:16679420,PMID:20118269,locus:2133269\""	"protein_coding"	"-"	"-"	"-"	"data"
0.51	"Os03t0374575-01"	"Os03g0374575"	"Similar to RNA recognition motif family protein, expressed."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"	"RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)"	"AK243058 (DDBJ, Best hit)"	"Q10KQ7 (UniProt)"	"-"	"-"	"J100013P19"	"-"	"AT3G13570.1"	"2"	"protein_coding"	"SC35-like splicing factor 30A"	"\"encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010, 22:2926.\""	"\"SC35-like splicing factor 30A (SCL30A); FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: nuclear mRNA splicing, via spliceosome, RNA splicing; LOCATED IN: nuclear speck; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)\""	"\"At-SCL30A,SCL30A\""	"SC35-like splicing factor 30A"	"SCL30A"	"\"At-SCL30A,SC35-like splicing factor 30A\""	"SC35-like splicing factor 30A"	"SC35-like splicing factor 30A (SCL30A)%3B FUNCTIONS IN: RNA binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: nuclear mRNA splicing%2C via spliceosome%2C RNA splicing%3B LOCATED IN: nuclear speck%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)%3B Has 39411 Blast hits to 22154 proteins in 1003 species: Archae - 84%3B Bacteria - 1991%3B Metazoa - 19033%3B Fungi - 3968%3B Plants - 4828%3B Viruses - 731%3B Other Eukaryotes - 8776 (source: NCBI BLink)."	"\"PMID:12176998,PMID:14576160,PMID:15133128,PMID:15270675,PMID:16367961,PMID:16497658,PMID:16520337,PMID:16807317,PMID:17556373,PMID:17712600,PMID:18402682,PMID:18650403,PMID:18775970,PMID:20884799,PMID:21935421,PMID:22913769,PMID:25268622,locus:2086804\""	"protein_coding"	"encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010%2C 22:2926."	"-"	"-"	"data"
0.51	"Os09t0451500-01"	"Os09g0451500"	"Similar to protein disulfide isomerase."	"-"	"-"	"-"	"-"	"PDIL2;3, PDIL2-3, PDIL 2-3, OsPDIL2-3, PDIL 2-3"	"PROTEIN DISULFIDE ISOMERASE-LIKE 2;3, protein disulfide-isomerase 2-3, protein disulfide isomerase 2-3, PDI-like protein 2-3"	"Biological Process: glycerol ether metabolic process (GO:0006662), Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035), Molecular Function: isomerase activity (GO:0016853)"	"Thioredoxin (IPR005746), Disulphide isomerase (IPR005788), Thioredoxin-like fold (IPR012336), Thioredoxin domain (IPR013766), Thioredoxin, conserved site (IPR017937)"	"AK072941 (DDBJ, Best hit)"	"Q67UF5 (UniProt)"	"-"	"-"	"J023150F04"	"9282"	"AT1G04980.1"	"2"	"protein_coding"	"PDI-like 2-2"	"\"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.\""	"\"PDI-like 2-2 (PDIL2-2); CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Disulphide isomerase (InterPro:IPR005788), Thioredoxin domain (InterPro:IPR013766), Thioredoxin, conserved site (InterPro:IPR017937), Thioredoxin-like subdomain (InterPro:IPR006662), Thioredoxin-like (InterPro:IPR017936), Thioredoxin-like fold (InterPro:IPR012336); BEST Arabidopsis thaliana protein match is: PDI-like 2-3 (TAIR:AT2G32920.1)\""	"\"ATPDI10,ATPDIL2-2,PDI10,PDIL2-2\""	"PDI-like 2-2"	"PDIL2-2"	"\"ATPDI10,ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10,ATPDIL2-2,PDI-like 2-2,PDI10,PROTEIN DISULFIDE ISOMERASE\""	"PDI-like 2-2"	"PDI-like 2-2 (PDIL2-2)%3B CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335)%2C Disulphide isomerase (InterPro:IPR005788)%2C Thioredoxin domain (InterPro:IPR013766)%2C Thioredoxin%2C conserved site (InterPro:IPR017937)%2C Thioredoxin-like subdomain (InterPro:IPR006662)%2C Thioredoxin-like (InterPro:IPR017936)%2C Thioredoxin-like fold (InterPro:IPR012336)%3B BEST Arabidopsis thaliana protein match is: PDI-like 2-3 (TAIR:AT2G32920.1)%3B Has 36254 Blast hits to 18629 proteins in 2906 species: Archae - 392%3B Bacteria - 18066%3B Metazoa - 5792%3B Fungi - 2053%3B Plants - 2624%3B Viruses - 46%3B Other Eukaryotes - 7281 (source: NCBI BLink)."	"\"PMID:15047901,PMID:15684019,PMID:16287169,PMID:18574595,PMID:18650403,PMID:20736450,PMID:21277284,PMID:21909944,locus:2010577\""	"protein_coding"	"Encodes a protein disulfide isomerase-like (PDIL) protein%2C a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol%2C beta-mercaptoethanol%2C and tunicamycin). AtIRE1-2 does not appear to be required for this response%2C but the atbzip60 mutant has a diminished response."	"-"	"-"	"data"
0.51	"Os07t0615400-01"	"Os07g0615400"	"Similar to Oligouridylate binding protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)"	"RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)"	"AK119233 (DDBJ, Best hit), AK103536 (DDBJ, Best hit)"	"Q2XPV3 (UniProt)"	"-"	"-"	"001-114-E11, J033132B05"	"-"	"AT1G54080.1"	"1"	"protein_coding"	"oligouridylate-binding protein 1A"	"NULL"	"\"oligouridylate-binding protein 1A (UBP1A); FUNCTIONS IN: mRNA 3'-UTR binding; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT3G14100.1)\""	"UBP1A"	"oligouridylate-binding protein 1A"	"UBP1A"	"-"	"oligouridylate-binding protein 1A"	"oligouridylate-binding protein 1A (UBP1A)%3B FUNCTIONS IN: mRNA 3'-UTR binding%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT3G14100.1)%3B Has 26408 Blast hits to 16156 proteins in 1551 species: Archae - 2%3B Bacteria - 177%3B Metazoa - 9876%3B Fungi - 6429%3B Plants - 6014%3B Viruses - 0%3B Other Eukaryotes - 3910 (source: NCBI BLink)."	"\"PMID:10747031,PMID:16615871,PMID:18775970,PMID:20687615,PMID:21120628,locus:2014340\""	"protein_coding"	"-"	"-"	"-"	"data"
0.51	"Os02t0775100-01"	"Os02g0775100"	"Manganese (Mn) cation diffusion facilitator (Mn-CDF), Mn tolerance"	"MTP8.2"	"metal tolerance protein 8.2"	"-"	"-"	"OsMTP8"	"metal tolerance protein 8"	"Biological Process: cation transport (GO:0006812), Biological Process: transmembrane transport (GO:0055085), Molecular Function: cation transmembrane transporter activity (GO:0008324), Cellular Component: integral component of membrane (GO:0016021)"	"Cation efflux transmembrane domain superfamily (IPR027469), Cation efflux protein, cytoplasmic domain superfamily (IPR036837), Cation efflux protein (IPR002524), Cation efflux protein, cytoplasmic domain (IPR027470)"	"AK110750 (truncated), Inferred from literature"	"Q6Z7K5"	"-"	"28633293"	"002-170-G06 (truncated)"	"13411"	"AT3G58060.1"	"1"	"protein_coding"	"Cation efflux family protein"	"MTP8 is a tonoplast localized  member of CDF family of cation transporters. It functions as an Mn transporter.MTP8 transports manganese into root vacuoles of  iron-deficient plants and thereby prevents inhibition of iron deficiency-induced ferric  chelate reductase by manganese."	"\"Cation efflux family protein; FUNCTIONS IN: cation transmembrane transporter activity, efflux transmembrane transporter activity; INVOLVED IN: cation transport, transmembrane transport; LOCATED IN: membrane; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Cation efflux protein (InterPro:IPR002524); BEST Arabidopsis thaliana protein match is: Cation efflux family protein (TAIR:AT1G79520.2)\""	"MTP8"	"Cation efflux family protein"	"-"	"-"	"-"	"Cation efflux family protein%3B FUNCTIONS IN: cation transmembrane transporter activity%2C efflux transmembrane transporter activity%3B INVOLVED IN: cation transport%2C transmembrane transport%3B LOCATED IN: membrane%3B EXPRESSED IN: 6 plant structures%3B EXPRESSED DURING: 4 anthesis%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Cation efflux protein (InterPro:IPR002524)%3B BEST Arabidopsis thaliana protein match is: Cation efflux family protein (TAIR:AT1G79520.2)%3B Has 4333 Blast hits to 4329 proteins in 1671 species: Archae - 143%3B Bacteria - 3530%3B Metazoa - 46%3B Fungi - 247%3B Plants - 204%3B Viruses - 0%3B Other Eukaryotes - 163 (source: NCBI BLink)."	"\"PMID:11500563,PMID:15539473,PMID:16844841,PMID:16998091,PMID:17409091,PMID:17559518,PMID:18772308,locus:2095873\""	"protein_coding"	"-"	"-"	"-"	"data"
0.51	"Os09t0412700-01"	"Os09g0412700"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK062405 (DDBJ, Best hit)"	"A3BYS3 (UniProt)"	"-"	"-"	"001-102-E07"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.51	"Os02t0760000-00"	"Os02g0760000"	"Similar to chaperone protein dnaJ."	"-"	"-"	"-"	"-"	"OsDjC22"	"DnaJ domain protein C22"	"Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)"	"Heat shock protein DnaJ, N-terminal (IPR001623), Heat shock protein DnaJ (IPR003095), Heat shock protein DnaJ, conserved site (IPR018253)"	"AK368960 (DDBJ)"	"B6UF39 (UniProt)"	"-"	"-"	"-"	"12179"	"AT2G33735.1"	"2"	"protein_coding"	"Chaperone DnaJ-domain superfamily protein"	"NULL"	"\"Chaperone DnaJ-domain superfamily protein; FUNCTIONS IN: unfolded protein binding, heat shock protein binding; INVOLVED IN: protein folding; LOCATED IN: cellular_component unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ (InterPro:IPR003095), Heat shock protein DnaJ, conserved site (InterPro:IPR018253); BEST Arabidopsis thaliana protein match is: Chaperone DnaJ-domain superfamily protein (TAIR:AT5G16650.1)\""	"-"	"Chaperone DnaJ-domain superfamily protein"	"-"	"-"	"-"	"Chaperone DnaJ-domain superfamily protein%3B FUNCTIONS IN: unfolded protein binding%2C heat shock protein binding%3B INVOLVED IN: protein folding%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 20 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ (InterPro:IPR003095)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%3B BEST Arabidopsis thaliana protein match is: Chaperone DnaJ-domain superfamily protein (TAIR:AT5G16650.1)%3B Has 26 Blast hits to 26 proteins in 9 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 0%3B Fungi - 0%3B Plants - 26%3B Viruses - 0%3B Other Eukaryotes - 0 (source: NCBI BLink)."	"\"PMID:15546358,locus:505006286\""	"protein_coding"	"-"	"-"	"-"	"data"
0.51	"Os06t0264700-01"	"Os06g0264700"	"Acylphosphatase domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: acylphosphatase activity (GO:0003998)"	"Acylphosphatase-like (IPR001792), Acylphosphatase, conserved site (IPR017968), Acylphosphatase (IPR020456)"	"AK243118 (DDBJ, Best hit)"	"A3BAG9 (UniProt)"	"-"	"-"	"J100028B14"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.51	"Os05t0200500-02"	"Os05g0200500"	"Similar to Casein kinase-like protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK100357 (DDBJ, Best hit), AK072116 (DDBJ, Best hit)"	"D8V7I8 (UniProt)"	"-"	"-"	"J023083K12, J013126I12"	"-"	"AT2G25760.1"	"1"	"protein_coding"	"Protein kinase family protein"	"NULL"	"\"Protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase domain (InterPro:IPR002290), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase family protein (TAIR:AT3G13670.1)\""	"-"	"Protein kinase family protein"	"-"	"-"	"-"	"Protein kinase family protein%3B FUNCTIONS IN: protein serine/threonine kinase activity%2C protein kinase activity%2C kinase activity%2C ATP binding%3B INVOLVED IN: protein amino acid phosphorylation%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Protein kinase%2C ATP binding site (InterPro:IPR017441)%2C Protein kinase%2C catalytic domain (InterPro:IPR000719)%2C Serine/threonine-protein kinase domain (InterPro:IPR002290)%2C Serine/threonine-protein kinase-like domain (InterPro:IPR017442)%2C Protein kinase-like domain (InterPro:IPR011009)%2C Serine/threonine-protein kinase%2C active site (InterPro:IPR008271)%3B BEST Arabidopsis thaliana protein match is: Protein kinase family protein (TAIR:AT3G13670.1)%3B Has 17667 Blast hits to 17599 proteins in 1508 species: Archae - 20%3B Bacteria - 6581%3B Metazoa - 4779%3B Fungi - 1455%3B Plants - 2098%3B Viruses - 217%3B Other Eukaryotes - 2517 (source: NCBI BLink)."	"\"PMID:18650403,locus:2043475\""	"protein_coding"	"-"	"-"	"-"	"data"
0.52	"Os10t0500700-01"	"Os10g0500700"	"Glutaredoxin, Drought stress response"	"OsGRXS17"	"Glutaredoxin 17"	"GRX22"	"GLUTAREDOXIN 22"	"OsGRX22"	"glutaredoxin 22"	"Biological Process: cell redox homeostasis (GO:0045454), Molecular Function: electron carrier activity (GO:0009055), Molecular Function: protein disulfide oxidoreductase activity (GO:0015035)"	"Thioredoxin-like superfamily (IPR036249), Monothiol glutaredoxin-related (IPR004480), Thioredoxin domain (IPR013766), Glutaredoxin (IPR002109), Glutaredoxin, PICOT-like (IPR033658)"	"AK059628, AK067982"	"Q0IWL9"	"-"	"29162892"	"001-030-H12, J013121J12"	"13583"	"AT4G04950.1"	"2"	"protein_coding"	"thioredoxin family protein"	"\"Encodes a monothiol glutaredoxin that is a critical component involved in ROS accumulation, auxin signaling, and temperature-dependent postembryonic growth in plants.  It has been shown to associate with the cytosolic Fe-S assembly (CIA) complex and contributes to, but is not essential for, the correct functioning of client Fe-S proteins in unchallenged conditions.\""	"\"thioredoxin family protein; FUNCTIONS IN: electron carrier activity, protein disulfide oxidoreductase activity; INVOLVED IN: cell redox homeostasis; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335), Glutaredoxin (InterPro:IPR002109), Thioredoxin-like (InterPro:IPR017936), Thioredoxin domain (InterPro:IPR013766), Thioredoxin-like fold (InterPro:IPR012336), Glutaredoxin-related protein (InterPro:IPR004480); BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT4G32580.1)\""	"\"AtGRXS17,GRXS17\""	"thioredoxin family protein"	"GRXS17"	"\"AtGRXS17,Arabidopsis thaliana monothiol glutaredoxin 17\""	"monothiol glutaredoxin 17"	"thioredoxin family protein%3B FUNCTIONS IN: electron carrier activity%2C protein disulfide oxidoreductase activity%3B INVOLVED IN: cell redox homeostasis%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Thioredoxin fold (InterPro:IPR012335)%2C Glutaredoxin (InterPro:IPR002109)%2C Thioredoxin-like (InterPro:IPR017936)%2C Thioredoxin domain (InterPro:IPR013766)%2C Thioredoxin-like fold (InterPro:IPR012336)%2C Glutaredoxin-related protein (InterPro:IPR004480)%3B BEST Arabidopsis thaliana protein match is: Thioredoxin superfamily protein (TAIR:AT4G32580.1)%3B Has 26535 Blast hits to 17137 proteins in 2757 species: Archae - 249%3B Bacteria - 14010%3B Metazoa - 1647%3B Fungi - 1426%3B Plants - 1759%3B Viruses - 3%3B Other Eukaryotes - 7441 (source: NCBI BLink)."	"\"PMID:16547123,PMID:16720602,PMID:17031546,PMID:18650403,PMID:21515673,PMID:22762155,PMID:24203231,PMID:25699589,locus:2135363\""	"protein_coding"	"Encodes a monothiol glutaredoxin that is a critical component involved in ROS accumulation%2C auxin signaling%2C and temperature-dependent postembryonic growth in plants."	"-"	"-"	"data"
0.52	"Os08t0278900-01"	"Os08g0278900"	"MIR domain containing protein."	"-"	"-"	"-"	"-"	"-"	"SDF2-like gene"	"Cellular Component: membrane (GO:0016020)"	"MIR (IPR003608), MIR motif (IPR016093)"	"AK100085 (DDBJ, Best hit)"	"NP_565585.1 (RefSeq)"	"-"	"-"	"J023002O21"	"10090"	"AT2G25110.1"	"1"	"protein_coding"	"stromal cell-derived factor 2-like protein precursor"	"Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity."	"\"stromal cell-derived factor 2-like protein precursor (SDF2); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: defense response to bacterium, defense response to fungus, PAMP-induced immunity; LOCATED IN: endoplasmic reticulum, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: MIR (InterPro:IPR003608), MIR motif (InterPro:IPR016093)\""	"\"AtSDF2,ATSDL,SDF2\""	"stromal cell-derived factor 2-like protein precursor"	"SDF2"	"\"ATSDL,ATSDF2-LIKE,AtSDF2,Arabidopsis thaliana STROMAL CELL-DERIVED FACTOR 2-like protein precursor\""	"stromal cell-derived factor 2-like protein precursor"	"stromal cell-derived factor 2-like protein precursor (SDF2)%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: defense response to bacterium%2C defense response to fungus%2C PAMP-induced immunity%3B LOCATED IN: endoplasmic reticulum%2C membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: MIR (InterPro:IPR003608)%2C MIR motif (InterPro:IPR016093)%3B Has 1035 Blast hits to 992 proteins in 196 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 386%3B Fungi - 512%3B Plants - 64%3B Viruses - 0%3B Other Eukaryotes - 73 (source: NCBI BLink)."	"\"PMID:12169696,PMID:12481097,PMID:15965014,PMID:15894741,PMID:15978049,PMID:16618929,PMID:18230180,PMID:18650403,PMID:18775970,PMID:19763086,PMID:20057059,PMID:21266257,PMID:24498907,locus:2040199\""	"protein_coding"	"Encodes an endoplasmic reticulum protein SDF2 (stromal-derived factor-2).  Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity."	"-"	"-"	"data"
0.52	"Os07t0546200-01"	"Os07g0546200"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK067303 (DDBJ, Best hit)"	"B9FXS3 (UniProt)"	"-"	"-"	"J013102C16"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
0.52	"Os04t0613300-01"	"Os04g0613300"	"Protein of unknown function DUF2358 domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Protein of unknown function DUF2358 (IPR018790)"	"AK065653 (DDBJ, Best hit)"	"A3AXC3 (UniProt)"	"-"	"-"	"J013037F04"	"-"	"AT1G16320.1"	"2"	"protein_coding"	"Uncharacterized conserved protein (DUF2358)"	"NULL"	"Uncharacterized conserved protein (DUF2358); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2358 (InterPro:IPR018790); BEST Arabidopsis thaliana protein match is: Uncharacterized conserved protein (DUF2358) (TAIR:AT1G79510.2)"	"-"	"plant/protein (DUF2358)"	"-"	"-"	"-"	"Uncharacterized conserved protein (DUF2358)%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: chloroplast%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2358 (InterPro:IPR018790)%3B BEST Arabidopsis thaliana protein match is: Uncharacterized conserved protein (DUF2358) (TAIR:AT1G79510.2)%3B Has 274 Blast hits to 274 proteins in 79 species: Archae - 0%3B Bacteria - 78%3B Metazoa - 80%3B Fungi - 0%3B Plants - 99%3B Viruses - 0%3B Other Eukaryotes - 17 (source: NCBI BLink)."	"\"PMID:14576160,locus:2032850\""	"protein_coding"	"-"	"-"	"-"	"data"
0.52	"Os11t0145400-01"	"Os11g0145400"	"Similar to GRF zinc finger family protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: protein binding (GO:0005515)"	"Ubiquitin (IPR000626), Ubiquitin supergroup (IPR019955)"	"AK242499 (DDBJ, Best hit)"	"Q2QXT9 (UniProt)"	"-"	"-"	"J080308D02"	"-"	"AT3G45180.1"	"2"	"protein_coding"	"Ubiquitin-like superfamily protein"	"NULL"	"\"Ubiquitin-like superfamily protein; CONTAINS InterPro DOMAIN/s: Ubiquitin (InterPro:IPR000626), Ubiquitin supergroup (InterPro:IPR019955); BEST Arabidopsis thaliana protein match is: ubiquitin-like protein 5 (TAIR:AT5G42300.1)\""	"-"	"Ubiquitin-like superfamily protein"	"-"	"-"	"-"	"Ubiquitin-like superfamily protein%3B CONTAINS InterPro DOMAIN/s: Ubiquitin (InterPro:IPR000626)%2C Ubiquitin supergroup (InterPro:IPR019955)%3B BEST Arabidopsis thaliana protein match is: ubiquitin-like protein 5 (TAIR:AT5G42300.1)%3B Has 399 Blast hits to 399 proteins in 174 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 169%3B Fungi - 99%3B Plants - 81%3B Viruses - 0%3B Other Eukaryotes - 50 (source: NCBI BLink)."	"\"PMID:16400686,locus:2096870\""	"protein_coding"	"-"	"-"	"-"	"data"
