"fld"	"GC"	"mix"	"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"temperature"	"radiation"	"radiation"	"Os05g0176100"	"Similar to RSW1-like cellulose synthase catalytic subunit (Fragment)."	"OsCesA1, OsCesA-1, OsCESA1, OS_CESA01, CesA1"
"temperature"	"radiation"	"radiation"	"Os05g0214300"	"Similar to Bidirectional sugar transporter SWEET3a."	"OsSWEET3a, SWEET3a"
"temperature"	"radiation"	"radiation"	"Os05g0289400"	"Similar to CRN (Crooked neck) protein."	"-"
"temperature"	"temperature"	"radiation"	"Os05g0295300"	"Similar to Acetyl-coenzyme A carboxylase (EC 6.4.1.2)."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0300700"	"Cell division cycle-associated protein domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0322900"	"Similar to WRKY transcription factor 45."	"OsWRKY45"
"temperature"	"radiation"	"radiation"	"Os05g0335800"	"TGF-beta receptor, type I/II extracellular region family protein."	"-"
"radiation"	"temperature"	"temperature"	"Os05g0337400"	"Similar to heavy-metal-associated domain-containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os05g0344200"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0346100"	"Phox-like domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os05g0357600"	"Similar to Developmentally regulated GTP binding protein."	"-"
"radiation"	"radiation"	"radiation"	"Os05g0390932"	"Hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0392000"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"temperature"	"Os05g0407100"	"Four F5 protein family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0419000"	"Alpha/beta hydrolase family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0431700"	"Similar to peptide transporter PTR2-B."	"-"
"temperature"	"temperature"	"radiation"	"Os05g0455600"	"Prenylated rab acceptor PRA1 family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0482700"	"Similar to 2, 3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1) (Phosphoglyceromutase) (BPG-independent PGAM) (PGAM-I)."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0486100"	"Leucine-rich repeat receptor-like kinase, Mn<sup>2+</sup>/Mg<sup>2+</sup>-dependent serine/threonine (Ser/Thr) kinase, Ca<sup>2+</sup>-independent Ser/Thr kinase, Negative regulation of polar auxin transport, Root development"	"OsRPK1"
"temperature"	"radiation"	"radiation"	"Os05g0491000"	"EF-Hand type domain containing protein."	"OsCML9"
"temperature"	"radiation"	"radiation"	"Os05g0498700"	"Similar to Gda-1 protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0507300"	"Similar to Calreticulin-3."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0516300"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"radiation"	"Os05g0538900"	"Similar to oxidoreductase."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0540000"	"EXTL2, alpha-1, 4-N-acetylhexosaminyltransferase domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os05g0546800"	"Protein of unknown function DUF3615 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0549800"	"Similar to DNA-binding protein RAV1."	"AP2/EREBP#096"
"temperature"	"radiation"	"radiation"	"Os05g0557400"	"Membrane attack complex component/perforin/complement C9 family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0574300"	"Similar to Histone H2B.2."	"-"
"temperature"	"temperature"	"temperature"	"Os05g0584300"	"Harpin-induced 1 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0587600"	"Hypothetical conserved gene."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0101000"	"Zinc finger, PHD-type domain containing protein."	"-"
"temperature"	"radiation"	"temperature"	"Os06g0111500"	"Cytosolic 6-phosphogluconate dehydrogenase."	"Os6PGDH1, Os6PGDH"
"temperature"	"temperature"	"temperature"	"Os06g0113500"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0116500"	"Pleckstrin homology-type domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0116600"	"Proteinase inhibitor, propeptide domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0120200"	"Protein of unknown function DUF594 family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0144600"	"Similar to Zinc carboxy peptidase."	"-"
"temperature"	"temperature"	"radiation"	"Os06g0158600"	"Protein of unknown function DUF652 family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os06g0165600"	"CRT/DRE binding factor (Transcription factor RCBF4)."	"OsDREB1D, CBF4, ERF116, OsERF#116, OsERF116, AP2/EREBP#054, AP2/EREBP54, OsCbf1, OsCBF1"
"temperature"	"radiation"	"radiation"	"Os06g0188800"	"Extracellular solute-binding protein, family 3 domain containing protein."	"OsGLR4.4"
"temperature"	"temperature"	"temperature"	"Os06g0232233"	"Hypothetical gene."	"-"
"temperature"	"temperature"	"radiation"	"Os06g0234100"	"Peptidase S1C, HrtA/DegP2/Q/S family protein."	"OsDegp10, DEGP10, OsDeg9.2"
"radiation"	"radiation"	"radiation"	"Os06g0300800"	"Hypothetical conserved gene."	"OsWD40-128"
"radiation"	"radiation"	"radiation"	"Os06g0334400"	"Similar to Cdk-activating kinase 1At (Cdk-activating kinase CAK1At)."	"CDKF;1, Orysa;CDKF;1, CDKF1, CDKF-1/CAK1AT, CDKF-1, CAK1AT, CAK1A"
"radiation"	"radiation"	"radiation"	"Os06g0342100"	"Signal recognition particle 19 kDa protein (SRP19)."	"SRP19"
"temperature"	"radiation = temperature"	"radiation"	"Os06g0483500"	"Similar to H0124B04.15 protein."	"-"
"temperature"	"temperature"	"radiation"	"Os06g0486400"	"Serine/threonine protein kinase domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os06g0491800"	"HAT dimerisation domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0494400"	"Multi antimicrobial extrusion protein MatE family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os06g0509100"	"Serine/threonine protein kinase-related domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os06g0557100"	"Serine/threonine protein kinase domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0602600"	"Alba, DNA/RNA-binding protein family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0622700"	"bZIP transcription factor, Endoplasmic reticulum stress response"	"OsbZIP60, bZIP50, OsbZIP50, OsbZIP74, OsbZIP50-S"
"temperature"	"radiation"	"radiation"	"Os06g0649900"	"Phospholipase D/Transphosphatidylase domain containing protein."	"OsPLDvarphi"
"temperature"	"radiation"	"radiation"	"Os06g0671600"	"Beta tubulin, autoregulation binding site domain containing protein."	"OsSAUR26"
"temperature"	"temperature"	"radiation"	"Os06g0687800"	"Similar to Pincher (EH-domain containing 4)."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0699600"	"CCT domain containing protein."	"OsCCT25, OsCMF7"
"temperature"	"radiation"	"radiation"	"Os06g0704700"	"NAD(P)-binding domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0705100"	"Similar to Thylakoid lumenal 13.3 kDa protein (P16.5) (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0705300"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0706400"	"PTR/NRT1 (peptide transporter/nitrate transporter 1) family protein, Nitrogen utilization efficiency, growth and grain yield"	"OsPTR9 OsNPF8.20, NPF8.20"
"radiation"	"radiation"	"radiation"	"Os06g0708700"	"Similar to Nodulin-like protein."	"-"
"temperature"	"temperature"	"temperature"	"Os06g0720100"	"Hypothetical gene."	"-"
"temperature"	"radiation"	"radiation"	"Os06g0729800"	"Hypothetical gene."	"OsIPT10"
"temperature"	"radiation"	"radiation"	"Os07g0106200"	"Similar to Hexose transporter."	"OsMST3"
"radiation"	"radiation"	"radiation"	"Os07g0110900"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0123800"	"Uncharacterised conserved protein UCP031279 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0134500"	"Similar to hydrolase/ protein serine/threonine phosphatase."	"-"
"temperature"	"temperature"	"radiation"	"Os07g0138100"	"Similar to PH domain containing protein."	"OsSWAP70B, SWAP70B, SIP21"
"radiation"	"temperature"	"temperature"	"Os07g0149250"	"Non-protein coding transcript."	"-"
"temperature"	"temperature"	"temperature"	"Os07g0158900"	"Cyclin-like F-box domain containing protein."	"OsFbox341, Os_F0215"
"radiation"	"temperature"	"temperature"	"Os07g0164000"	"Small RNA methyltransferase, Small RNA stabilization, Regulation of shoot development"	"waf1, waf1-1, waf1-2, HEN1"
"temperature"	"radiation"	"radiation"	"Os07g0196100"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"temperature"	"Os07g0208500"	"Similar to Cellulose synthase-4."	"OsCesA8, OsCESA8, OS_CESA08, CesA8"
"temperature"	"radiation"	"radiation"	"Os07g0209000"	"Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48 kDa subunit precursor, N-glycosylation, Root development"	"OsDGL1"
"temperature"	"radiation"	"radiation"	"Os07g0249200"	"Similar to Vesicle-associated membrane protein 724 (AtVAMP724) (SYBL1-like protein)."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0271000"	"Similar to GDP dissociation inhibitor protein OsGDI1."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0274700"	"HvB12D protein (B12Dg1 protein)."	"-"
"temperature"	"temperature"	"radiation"	"Os07g0419800"	"Hypothetical conserved gene."	"-"
"radiation"	"temperature"	"radiation"	"Os07g0452700"	"Hypothetical conserved gene."	"-"
"radiation"	"radiation"	"radiation"	"Os07g0464600"	"ABC transporter-like domain containing protein."	"OsABCB26"
"temperature"	"temperature"	"radiation"	"Os07g0475800"	"Eukaryotic rRNA processing family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0497100"	"Chromodomain, helicase/ATPase, and DNA-binding domain (CHD) protein, Chromatin-remodeling factor, Mi-2-like protein, Crown root development, Chloroplast development in adaxial mesophyll, Maintenance of H3K4me3"	"-"
"radiation"	"radiation"	"radiation"	"Os07g0510500"	"UDP-glucuronosyl/UDP-glucosyltransferase family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0515000"	"Similar to Met-10+ like family protein / kelch repeat-containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os07g0535200"	"Cyclin-like F-box domain containing protein."	"OsFbox376, Os_F0063"
"radiation"	"temperature"	"temperature"	"Os07g0542600"	"Similar to receptor-like protein kinase RK20-1."	"-"
"temperature"	"temperature"	"temperature"	"Os07g0549200"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0556200"	"Rieske [2Fe-2S] region domain containing protein."	"PetC"
"temperature"	"radiation"	"radiation"	"Os07g0563800"	"Arf GTPase activating protein family protein."	"-"
"radiation"	"radiation"	"radiation"	"Os07g0583000"	"Ribosome associated membrane RAMP4 family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os07g0589000"	"Lateral organ boundaries, LOB domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os07g0590700"	"Similar to transcriptional regulatory protein algP."	"OsAGP13"
"radiation"	"radiation"	"radiation"	"Os07g0598500"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0605200"	"APETALA1 (AP1)/ FRUITFULL (FUL)-like MADS box transcription factor, Specification of inflorescence meristem identity"	"OsMADS18, MADS2, OsMADS2, MADS28, OsMADS28, FDRMADS7, OsMADS18/28"
"radiation"	"radiation"	"radiation"	"Os07g0619800"	"Similar to CDPK-related protein kinase."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0623100"	"Similar to ER66 protein (Fragment)."	"-"
"temperature"	"temperature"	"radiation = temperature"	"Os07g0636400"	"Similar to ribonuclease P."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0645100"	"Phosphatidylinositol 3- and 4-kinase, catalytic domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0648566"	"Hypothetical gene."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0661300"	"Similar to Ubiquitin-specific protease 24."	"-"
"temperature"	"radiation"	"radiation"	"Os07g0663700"	"Similar to Oxidoreductase, short chain dehydrogenase/reductase family protein, expressed."	"OsSDR110C-MI3, SDR110C-MI3"
"temperature"	"radiation"	"radiation"	"Os07g0669900"	"Non-protein coding transcript."	"-"
"temperature"	"temperature"	"radiation"	"Os07g0680500"	"Similar to ATP binding / DNA binding / helicase/ nucleic acid binding / protein binding / zinc ion binding."	"-"
"temperature"	"temperature"	"radiation"	"Os07g0681500"	"Ankyrin repeat containing protein."	"OsMED5_3, MED5_3"
"temperature"	"radiation"	"radiation"	"Os08g0102700"	"Harpin-induced 1 domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os08g0117300"	"Similar to 40S ribosomal protein S13."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0135300"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0143900"	"Hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os08g0145600"	"Similar to cDNA clone:J023091L02, full insert sequence."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0157500"	"Caffeic acid O-methyltransferase, Flavonoid 3'-O-methyltransferase, Melatonin biosynthesis, Tricin biosynthesis"	"COMT, OsCOMT, ROMT-9, OsCOMT1, OsCAldOMT1, CAldOMT1, OsOMT"
"temperature"	"radiation"	"radiation"	"Os08g0171700"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"radiation"	"Os08g0177300"	"HSA domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os08g0180300"	"DEAD-like helicase, N-terminal domain containing protein."	"BRHIS1, OsEDA16"
"temperature"	"radiation"	"radiation"	"Os08g0185300"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0206600"	"Similar to AICARFT/IMPCHase bienzyme family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0208400"	"Transposon, En/Spm-like domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0243500"	"Similar to NADPH-cytochrome P450 oxydoreductase isoform 2."	"OsCPR2"
"temperature"	"radiation"	"radiation"	"Os08g0323600"	"Ribonuclease E and G domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0345400"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os08g0351300"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"temperature"	"Os08g0384100"	"Double-stranded RNA-binding-like domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0411200"	"Methyltransferase type 11 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0425200"	"Chaperonin-like RbcX domain containing protein."	"RcbX, RbcX"
"temperature"	"radiation"	"radiation"	"Os08g0460900"	"Conserved hypothetical protein."	"OsFbox450, Os_F0185"
"temperature"	"temperature"	"radiation"	"Os08g0476300"	"Glucose/ribitol dehydrogenase family protein."	"EIP11"
"temperature"	"temperature"	"temperature"	"Os08g0478200"	"Similar to ATP synthase D chain, mitochondrial (EC 3.6.3.14)."	"RMtATPd2"
"temperature"	"temperature"	"radiation"	"Os08g0482100"	"LETM1-like domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os08g0482700"	"Conserved hypothetical protein."	"OsUCL30"
"temperature"	"radiation"	"radiation"	"Os08g0484600"	"Serine/threonine protein kinase, Carbohydrate metabolism"	"osk4, OsK4, OsATG1c, ATG1C, SnRK1B, snrk1b, SnRK1B/OSK24, OSK24, OsK24, OsSNRK1b"
"temperature"	"radiation"	"radiation"	"Os08g0486200"	"Similar to Splicing factor SC35."	"-"
"temperature"	"radiation"	"radiation"	"Os08g0509400"	"Similar to Amygdalin hydrolase isoform AH I precursor (EC 3.2.1.117)."	"Os8bglu28, OsBGlu28"
"temperature"	"radiation"	"radiation"	"Os08g0510500"	"ENT domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os08g0523600"	"Similar to CTV.22."	"OsKIX_9"
"temperature"	"temperature"	"temperature"	"Os08g0561800"	"Similar to Mov34/MPN/PAD-1 family protein."	"-"
"radiation"	"radiation"	"radiation"	"Os08g0564800"	"Coactivator CBP, KIX domain containing protein."	"OsMED15_2, OsKIX_10, MED15_2, KIX_10"
"temperature"	"radiation"	"radiation"	"Os09g0110400"	"Similar to DNA-directed RNA polymerase II 36 kDa polypeptide A (EC 2.7.7.6) (RNA polymerase II subunit 3)."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0120800"	"Similar to ATPase, calcium-transporting-related (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0135400"	"Similar to octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os09g0268300"	"Similar to Monosaccharide transporter."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0272200"	"Hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0278900"	"Non-protein coding transcript."	"-"
"radiation"	"temperature"	"radiation"	"Os09g0313500"	"NB-ARC domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0338400"	"Similar to Cysteine desulfurase, mitochondrial precursor (EC 2.8.1.7) (m-Nfs1)."	"OsISC1"
"temperature"	"radiation"	"radiation = temperature"	"Os09g0364500"	"GTP-binding protein, HSR1-related domain containing protein."	"-"
"radiation"	"temperature"	"radiation"	"Os09g0370200"	"Copper chaperone SCO1/SenC domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os09g0411700"	"Peptidyl-prolyl cis-trans isomerase, PpiC-type domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0439600"	"Exo70 exocyst complex subunit family protein."	"OsEXO70D1, OsExo70D1, OrysaD1_Exo70"
"radiation"	"radiation"	"radiation"	"Os09g0453100"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation = temperature"	"radiation"	"Os09g0454100"	"Peptidase S54, rhomboid domain containing protein."	"OsRhmbd15, RHMBD15"
"temperature"	"radiation"	"radiation"	"Os09g0466900"	"Similar to Calcium-dependent protein kinase."	"OsPEPRK2"
"temperature"	"radiation"	"radiation"	"Os09g0503100"	"Similar to Quinone-oxidoreductase QR1 (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0515200"	"Beta 7 subunit of 20S proteasome."	"OsPBG1"
"radiation"	"temperature"	"radiation"	"Os09g0515300"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"temperature"	"Os09g0532700"	"Rossmann-like alpha/beta/alpha sandwich fold domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os09g0535900"	"Similar to Ki1 protein."	"-"
"temperature"	"temperature"	"temperature"	"Os09g0552300"	"Protein kinase, core domain containing protein."	"-"
"radiation"	"temperature"	"radiation"	"Os09g0566100"	"ENTH/VHS domain containing protein."	"-"
"radiation"	"temperature"	"radiation"	"Os09g0568900"	"Similar to predicted protein."	"IF1-2"
"temperature"	"radiation"	"radiation"	"Os10g0136500"	"Similar to SRK5 protein (Fragment)."	"-"
"temperature"	"temperature"	"temperature"	"Os10g0170200"	"Similar to 40S ribosomal protein S20 (S22) (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0180000"	"NpGUT1 homolog."	"OsGUT1, GUT1"
"temperature"	"radiation"	"radiation"	"Os10g0188900"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0190000"	"Similar to Ubiquitin-conjugating enzyme E2 M (EC 6.3.2.19) (Ubiquitin-protein ligase M) (Ubiquitin carrier protein M) (Nedd8-conjugating enzyme Ubc12)."	"OsUBC4"
"radiation"	"radiation"	"radiation"	"Os10g0213700"	"Similar to P-166-4_1 (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0316400"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0392400"	"Tify domain containing protein."	"OsTIFY11d, OsJAZ1, JAZ1, OsJAZ 12, OsJAZ12, JAZ12"
"temperature"	"radiation"	"radiation"	"Os10g0396300"	"Similar to MOB1."	"-"
"temperature"	"temperature"	"temperature"	"Os10g0430700"	"Conserved hypothetical protein."	"OsMB46, MB46"
"temperature"	"radiation"	"radiation"	"Os10g0447100"	"Similar to Ubiquitin-conjugating enzyme E2-21 kDa 2 (EC 6.3.2.19) (Ubiquitin- protein ligase 5) (Ubiquitin carrier protein 5)."	"OsUBC10"
"radiation"	"temperature"	"radiation"	"Os10g0462100"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"temperature"	"Os10g0462800"	"Component of the plastid-encoded plastid RNA polymerase (PEP), peripheral subunit of PEP complex, OsPAP1/OspTAC3, Early chloroplast development"	"OspTAC3, pTAC3, OsPAP1, PAP1"
"temperature"	"radiation"	"radiation"	"Os10g0469700"	"Leucine-rich repeat, typical subtype containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0476000"	"Adaptin ear-binding coat-associated protein 1 NECAP-1 family protein."	"OsABCI16, OsABCI16_1, OsABCI16_2"
"temperature"	"temperature"	"temperature"	"Os10g0484300"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0488800"	"Myosin head, motor region domain containing protein."	"OSMYOVIIIB, OsMyoVIIIB"
"temperature"	"temperature"	"radiation"	"Os10g0501300"	"Pentatricopeptide repeat domain containing protein."	"PPR10"
"radiation"	"radiation"	"radiation"	"Os10g0504600"	"Similar to SKIP interacting protein 24 (Fragment)."	"SIP24"
"temperature"	"radiation"	"temperature"	"Os10g0521900"	"Similar to Membrane protein."	"OsRhmbd17, RHMBD17"
"temperature"	"radiation"	"radiation"	"Os10g0522900"	"Isopenicillin N synthase family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0529400"	"Similar to Glutathione S-transferase GSTU6."	"OsGSTU9"
"temperature"	"radiation"	"radiation"	"Os10g0533100"	"Similar to ABC-type Co2+ transport system, permease component."	"-"
"temperature"	"radiation"	"radiation"	"Os10g0548200"	"Tetratricopeptide-like helical domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os10g0548400"	"Similar to F25C20.9."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0102600"	"LisH dimerisation motif domain containing protein."	"OsTON1b, TON1b"
"temperature"	"radiation"	"radiation"	"Os11g0114700"	"PAP/25A core domain containing protein."	"OsNTP11"
"radiation"	"radiation"	"radiation"	"Os11g0115400"	"Lipid transfer protein LPT IV."	"Ltp1, RLTP1"
"temperature"	"radiation"	"radiation"	"Os11g0116400"	"Similar to Elongation factor P (EF-P)."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0129600"	"Hypothetical conserved gene."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0130100"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0140400"	"Similar to autoinhibited calcium ATPase."	"osACA4, OsACA8, OsACA4"
"radiation"	"radiation"	"radiation"	"Os11g0141800"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os11g0143300"	"A-type response regulator, Cytokinin signaling"	"OsRR9, Rra1, OsRRA1, OsRR10, RR10"
"temperature"	"radiation"	"radiation"	"Os11g0239500"	"Alpha/beta hydrolase fold-3 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0252400"	"Ankyrin repeat containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os11g0264600"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os11g0433500"	"Similar to Protein transport protein Sec23A (SEC23-related protein A)."	"Sec23c"
"temperature"	"radiation"	"radiation"	"Os11g0433600"	"Tetratricopeptide-like helical domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os11g0434000"	"HAD-superfamily phosphatase, subfamily IIIC domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0438400"	"Hypothetical conserved gene."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0448400"	"RNA polymerase sigma factor, region 2 domain containing protein."	"OsSIG2A, OsSig2A"
"temperature"	"radiation"	"radiation"	"Os11g0482400"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os11g0507200"	"Similar to transferase."	"-"
"temperature"	"temperature"	"temperature"	"Os11g0533800"	"Cyclin-like F-box domain containing protein."	"OsFbox602, Os_F0512"
"temperature"	"temperature"	"temperature"	"Os11g0582700"	"Cyclin-like F-box domain containing protein."	"OsFbox614, Os_F0381"
"radiation"	"radiation"	"radiation"	"Os11g0648100"	"Kinesin, motor domain domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os11g0661200"	"Heat shock protein DnaJ, N-terminal domain containing protein."	"OsDjC78"
"temperature"	"radiation"	"radiation"	"Os12g0102350"	"Similar to WRKY transcription factor 57."	"-"
"radiation"	"radiation"	"radiation"	"Os12g0102600"	"Similar to HCF152."	"-"
"radiation"	"radiation"	"radiation"	"Os12g0112600"	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain containing protein."	"-"
"radiation"	"temperature"	"radiation"	"Os12g0112800"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os12g0113500"	"Similar to CBL-interacting protein kinase 14."	"OsCIPK14"
"temperature"	"radiation"	"radiation"	"Os12g0115300"	"Plant lipid transfer protein and hydrophobic protein, helical domain containing protein."	"OsLTP1.19, OsLtpI.19"
"temperature"	"temperature"	"radiation"	"Os12g0118700"	"Zinc finger, RING/FYVE/PHD-type domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os12g0123500"	"Similar to Apyrase precursor (EC 3.6.1.5) (ATP-diphosphatase) (Adenosine diphosphatase) (ADPase) (ATP-diphosphohydrolase)."	"-"
"temperature"	"radiation"	"radiation"	"Os12g0131100"	"Similar to Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (Hexosephosphate aminotransferase) (D-fructose-6- phosphate amidotransferase) (GFAT)."	"-"
"temperature"	"temperature"	"radiation"	"Os12g0197600"	"Hypothetical gene."	"-"
"radiation"	"temperature"	"radiation"	"Os12g0228900"	"Similar to Leucine Rich Repeat family protein, expressed."	"-"
"temperature"	"radiation"	"radiation"	"Os12g0230100"	"Similar to ATP-dependent Clp protease ATP-binding subunit clpA homolog, chloroplast precursor (Fragment)."	"-"
"temperature"	"temperature"	"temperature"	"Os12g0233500"	"Hypothetical conserved gene."	"-"
"radiation"	"temperature"	"temperature"	"Os12g0241100"	"Iojap-related protein family protein."	"-"
"radiation"	"radiation"	"radiation"	"Os12g0266000"	"Similar to Glutaredoxin-C8."	"-"
"temperature"	"radiation"	"radiation"	"Os12g0291100"	"Similar to Petunia ribulose 1, 5-bisphosphate carboxylase small subunit mRNA (clone pSSU 51), partial cds. (Fragment)."	"RbcS3, OsRBCS3, OsRbcS3, rbcS"
"radiation"	"radiation"	"radiation"	"Os12g0425800"	"Hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os12g0480100"	"Similar to One helix protein (OHP)."	"-"
"temperature"	"temperature"	"radiation"	"Os12g0548200"	"Heat shock protein DnaJ, N-terminal domain containing protein."	"OsDjC82, DjC82, XB21"
"temperature"	"radiation"	"radiation"	"Os12g0560600"	"Conserved hypothetical protein."	"-"
