"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os03t0276500-01","Os03g0276500","Similar to Heat shock protein 70.","-","-","HSP71.1","71.1 KDA CLASS I HEAT SHOCK PROTEIN","OsHsp71.1, OsHSP71.1, OsMED37_3, MED37_3","71.1 kDa heat shock protein, 71.1-kD heat shock protein, Mediator 37_3","Molecular Function: ATP binding (GO:0005524)","Heat shock protein Hsp70 (IPR001023), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)","AK072830 (DDBJ, Best hit), AK099275 (DDBJ, Best hit), AK109474 (DDBJ, Best hit)","NP_001148198.1 (RefSeq)","-","-","J023139H01, J023078D02, 001-129-B01","11892","AT5G02500.1","1","protein_coding","heat shock cognate protein 70-1","encodes a member of heat shock protein 70 family.","""heat shock cognate protein 70-1 (HSC70-1); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to cold, response to virus, response to heat; LOCATED IN: in 9 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)""","""AT-HSC70-1,AtHsp70-1,HSC70,HSC70-1,HSP70-1""","heat shock cognate protein 70-1","HSC70-1","""AT-HSC70-1,ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1,AtHsp70-1,HSC70,HEAT SHOCK COGNATE PROTEIN 70,HSP70-1,HEAT SHOCK PROTEIN 70-1""","heat shock cognate protein 70-1","heat shock cognate protein 70-1 (HSC70-1)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to cold%2C response to virus%2C response to heat%3B LOCATED IN: in 9 components%3B EXPRESSED IN: 29 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: Heat shock protein 70 (Hsp 70) family protein (TAIR:AT5G02490.1)%3B Has 34264 Blast hits to 33945 proteins in 4852 species: Archae - 163%3B Bacteria - 16558%3B Metazoa - 3831%3B Fungi - 1761%3B Plants - 1266%3B Viruses - 306%3B Other Eukaryotes - 10379 (source: NCBI BLink).","""PMID:10508612,PMID:10344193,PMID:9914526,PMID:9437862,PMID:8804399,PMID:8706819,PMID:7651336,PMID:7984243,PMID:8049382,PMID:11807141,PMID:11179422,PMID:11402207,PMID:12433921,PMID:12482876,PMID:10446203,PMID:12805626,PMID:12887064,PMID:14505352,PMID:12954627,PMID:9750105,PMID:14617066,PMID:14655047,PMID:15763661,PMID:15805473,PMID:16636050,PMID:18065690,PMID:18650403,PMID:18775970,PMID:19443614,PMID:19617588,PMID:21139434,PMID:21418353,PMID:21612577,PMID:21586649,PMID:21798377,PMID:22021418,PMID:22115780,PMID:22771433,locus:2181833""","protein_coding","encodes a member of heat shock protein 70 family.","-","-","data"
"Os03t0293000-01","Os03g0293000","Similar to DnaJ domain containing protein, expressed.","-","-","-","-","OsERdj3A, TMS1","ER-resident J-protein 3A, THERMOSENSITIVE MALE STERILE 1","-","Thioredoxin-like fold (IPR012336)","AK063376 (DDBJ, Best hit)","Q10MW6 (UniProt)","-","-","001-114-F03","15031","AT3G08970.2","2","protein_coding","DNAJ heat shock N-terminal domain-containing protein","""J domain protein localized in ER lumen. Can compensate for the growth defect in jem1 scj1 mutant yeast. Also shows similarity to HSP40 proteins and is induced by heat stress. At high temperatures, mutant alleles are not transmitted through the pollen due to defects in pollen tube growth.""","""ATERDJ3A; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ (InterPro:IPR003095), Thioredoxin-like fold (InterPro:IPR012336), Heat shock protein DnaJ, conserved site (InterPro:IPR018253); BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT2G22360.1)""","""ATERDJ3A,TMS1""","DNAJ heat shock N-terminal domain-containing protein","ATERDJ3A","-","-","ATERDJ3A%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ (InterPro:IPR003095)%2C Thioredoxin-like fold (InterPro:IPR012336)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%3B BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT2G22360.1)%3B Has 29746 Blast hits to 27935 proteins in 3434 species: Archae - 203%3B Bacteria - 10482%3B Metazoa - 6798%3B Fungi - 2759%3B Plants - 3202%3B Viruses - 20%3B Other Eukaryotes - 6282 (source: NCBI BLink).","""PMID:16258017,PMID:18650403,PMID:18718935,PMID:18775970,PMID:18980646,PMID:25231968,locus:2097643""","protein_coding","J domain protein localized in ER lumen. Can compensate for the growth defect in jem1 scj1 mutant yeast. Also shows similarity to HSP40 proteins and is induced by heat stress. At high temperatures%2C mutant alleles are not transmitted through the pollen due to defects in pollen tube growth.","-","-","data"
"Os03t0374575-01","Os03g0374575","Similar to RNA recognition motif family protein, expressed.","-","-","-","-","-","-","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)","AK243058 (DDBJ, Best hit)","Q10KQ7 (UniProt)","-","-","J100013P19","-","AT3G13570.1","2","protein_coding","SC35-like splicing factor 30A","""encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010, 22:2926.""","""SC35-like splicing factor 30A (SCL30A); FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: nuclear mRNA splicing, via spliceosome, RNA splicing; LOCATED IN: nuclear speck; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)""","""At-SCL30A,SCL30A""","SC35-like splicing factor 30A","SCL30A","""At-SCL30A,SC35-like splicing factor 30A""","SC35-like splicing factor 30A","SC35-like splicing factor 30A (SCL30A)%3B FUNCTIONS IN: RNA binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: nuclear mRNA splicing%2C via spliceosome%2C RNA splicing%3B LOCATED IN: nuclear speck%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: SC35-like splicing factor 33 (TAIR:AT1G55310.3)%3B Has 39411 Blast hits to 22154 proteins in 1003 species: Archae - 84%3B Bacteria - 1991%3B Metazoa - 19033%3B Fungi - 3968%3B Plants - 4828%3B Viruses - 731%3B Other Eukaryotes - 8776 (source: NCBI BLink).","""PMID:12176998,PMID:14576160,PMID:15133128,PMID:15270675,PMID:16367961,PMID:16497658,PMID:16520337,PMID:16807317,PMID:17556373,PMID:17712600,PMID:18402682,PMID:18650403,PMID:18775970,PMID:20884799,PMID:21935421,PMID:22913769,PMID:25268622,locus:2086804""","protein_coding","encodes an SC35-like splicing factor of 30 kD that is localized to the nuclear specks. Barta et al (2010) have proposed a nomenclature for Serine/Arginine-Rich Protein Splicing Factors (SR proteins): Plant Cell. 2010%2C 22:2926.","-","-","data"
"Os03t0381300-01","Os03g0381300","CS domain domain containing protein.","-","-","-","-","-","-","-","CS-like domain (IPR007052), HSP20-like chaperone (IPR008978), CS domain (IPR017447)","AK068105 (DDBJ, Best hit)","Q3I0N3 (UniProt)","-","-","J013131N05","-","AT4G02450.1","1","protein_coding","HSP20-like chaperones superfamily protein","""Encodes one of two isoforms of a co-chaperone of HSP90 that is required for root growth, in particular in the maintenance of the root meristem.""","""HSP20-like chaperones superfamily protein; FUNCTIONS IN: molecular_function unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052), HSP20-like chaperone (InterPro:IPR008978), CS domain (InterPro:IPR017447); BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT3G03773.1)""","p23-1","HSP20-like chaperones superfamily protein","-","-","-","HSP20-like chaperones superfamily protein%3B FUNCTIONS IN: molecular_function unknown%3B LOCATED IN: plasma membrane%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: CS-like domain (InterPro:IPR007052)%2C HSP20-like chaperone (InterPro:IPR008978)%2C CS domain (InterPro:IPR017447)%3B BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT3G03773.1)%3B Has 51861 Blast hits to 12232 proteins in 1049 species: Archae - 75%3B Bacteria - 28612%3B Metazoa - 10233%3B Fungi - 1929%3B Plants - 4069%3B Viruses - 438%3B Other Eukaryotes - 6505 (source: NCBI BLink).","""PMID:16679420,PMID:20118269,locus:2133269""","protein_coding","-","-","-","data"
"Os03t0581701-00","Os03g0581701","Non-protein coding transcript.","-","-","-","-","-","-","-","-","CT835089 (DDBJ, Best hit)","NONE","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os03t0701100-01","Os03g0701100","Similar to Prp18 domain containing protein, expressed.","-","-","-","-","-","-","Biological Process: RNA splicing (GO:0008380), Cellular Component: spliceosomal complex (GO:0005681)","Splicing factor motif (IPR003648), Prp18 (IPR004098), Pre-mRNA processing factor 4 (PRP4)-like (IPR014906)","AK120078 (DDBJ, Best hit)","Q53RB6 (UniProt)","-","-","J013011B03","-","AT1G03140.1","1","protein_coding","splicing factor Prp18 family protein","NULL","""splicing factor Prp18 family protein; INVOLVED IN: RNA splicing; LOCATED IN: spliceosomal complex; EXPRESSED IN: male gametophyte, cultured cell, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Pre-mRNA processing factor 4 (PRP4) like (InterPro:IPR014906), Splicing factor motif (InterPro:IPR003648), Prp18 (InterPro:IPR004098); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54590.1)""","-","splicing factor Prp18 family protein","-","-","-","splicing factor Prp18 family protein%3B INVOLVED IN: RNA splicing%3B LOCATED IN: spliceosomal complex%3B EXPRESSED IN: male gametophyte%2C cultured cell%2C pollen tube%3B EXPRESSED DURING: L mature pollen stage%2C M germinated pollen stage%3B CONTAINS InterPro DOMAIN/s: Pre-mRNA processing factor 4 (PRP4) like (InterPro:IPR014906)%2C Splicing factor motif (InterPro:IPR003648)%2C Prp18 (InterPro:IPR004098)%3B BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G54590.1)%3B Has 624 Blast hits to 613 proteins in 206 species: Archae - 0%3B Bacteria - 5%3B Metazoa - 235%3B Fungi - 175%3B Plants - 58%3B Viruses - 0%3B Other Eukaryotes - 151 (source: NCBI BLink).","""PMID:18650403,PMID:18775970,PMID:23877244,locus:2007589""","protein_coding","-","-","-","data"
"Os03t0709000-01","Os03g0709000","Membrane-associated, eicosanoid and glutathione metabolism (MAPEG) domain containing protein.","-","-","-","-","-","-","-","Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein (IPR001129), Membrane associated eicosanoid/glutathione metabolism-like domain (IPR023352)","AK062406 (DDBJ, Best hit)","B4FLH3 (UniProt)","-","-","001-102-E08","-","AT1G65820.3","2","protein_coding","""microsomal glutathione s-transferase, putative""","NULL","""microsomal glutathione s-transferase, putative; CONTAINS InterPro DOMAIN/s: Membrane-associated, eicosanoid/glutathione metabolism (MAPEG) protein (InterPro:IPR001129)""","-","microsomal glutathione s-transferase","-","-","-","microsomal glutathione s-transferase%2C putative%3B FUNCTIONS IN: glutathione transferase activity%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: endoplasmic reticulum%2C vacuole%2C membrane%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Membrane-associated%2C eicosanoid/glutathione metabolism (MAPEG) protein (InterPro:IPR001129)%3B Has 397 Blast hits to 397 proteins in 131 species: Archae - 0%3B Bacteria - 6%3B Metazoa - 200%3B Fungi - 90%3B Plants - 65%3B Viruses - 0%3B Other Eukaryotes - 36 (source: NCBI BLink).","""PMID:15215502,PMID:15618427,PMID:15539469,PMID:15794756,PMID:16618929,PMID:17432890,PMID:17660356,PMID:18650403,PMID:21838868,locus:2018566""","protein_coding","-","-","-","data"
"Os03t0787300-01","Os03g0787300","Similar to DnaJ homolog.","-","-","-","-","OsDjA5","DnaJ domain protein A5","Biological Process: protein folding (GO:0006457), Molecular Function: heat shock protein binding (GO:0031072), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein DnaJ, cysteine-rich domain (IPR001305), Heat shock protein DnaJ, N-terminal (IPR001623), Chaperone DnaJ, C-terminal (IPR002939), Heat shock protein DnaJ (IPR003095), HSP40/DnaJ peptide-binding (IPR008971), Heat shock protein DnaJ, conserved site (IPR018253)","AK061049 (DDBJ, Best hit), AK104315 (DDBJ, Best hit)","Q0PMD7 (UniProt)","-","-","006-205-G01, 001-023-E04","12142","AT3G44110.1","1","protein_coding","DNAJ homologue 3","homologous to the co-chaperon DNAJ protein from E coli","""DNAJ homologue 3 (ATJ3); FUNCTIONS IN: unfolded protein binding, heat shock protein binding, ATP binding; INVOLVED IN: protein folding, response to salt stress, regulation of ATPase activity; LOCATED IN: nucleolus, cell wall, plasma membrane; EXPRESSED IN: 28 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ, cysteine-rich domain (InterPro:IPR001305), Heat shock protein DnaJ, conserved site (InterPro:IPR018253), Heat shock protein DnaJ (InterPro:IPR003095), Chaperone DnaJ (InterPro:IPR012724); BEST Arabidopsis thaliana protein match is: DNAJ homologue 2 (TAIR:AT5G22060.1)""","""ATJ,ATJ3,J3""","DNAJ homologue 3","J3","-","-","DNAJ homologue 3 (ATJ3)%3B FUNCTIONS IN: unfolded protein binding%2C heat shock protein binding%2C ATP binding%3B INVOLVED IN: protein folding%2C response to salt stress%2C regulation of ATPase activity%3B LOCATED IN: nucleolus%2C cell wall%2C plasma membrane%3B EXPRESSED IN: 28 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C HSP40/DnaJ peptide-binding (InterPro:IPR008971)%2C Chaperone DnaJ%2C C-terminal (InterPro:IPR002939)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ%2C cysteine-rich domain (InterPro:IPR001305)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%2C Heat shock protein DnaJ (InterPro:IPR003095)%2C Chaperone DnaJ (InterPro:IPR012724)%3B BEST Arabidopsis thaliana protein match is: DNAJ homologue 2 (TAIR:AT5G22060.1)%3B Has 26899 Blast hits to 26588 proteins in 3465 species: Archae - 213%3B Bacteria - 10134%3B Metazoa - 4292%3B Fungi - 2434%3B Plants - 2563%3B Viruses - 88%3B Other Eukaryotes - 7175 (source: NCBI BLink).","""PMID:15489341,PMID:15692178,PMID:17085506,PMID:18650403,PMID:18790826,PMID:18775970,PMID:20418496,PMID:21343416,PMID:21494090,PMID:24134886,locus:2081378""","protein_coding","homologous to the co-chaperon DNAJ protein from E coli","-","-","data"
"Os04t0402100-01","Os04g0402100","Similar to Calnexin (Fragment).","-","-","CNX","CALNEXIN","OsCNX","Calnexin","Biological Process: protein folding (GO:0006457), Cellular Component: endoplasmic reticulum (GO:0005783), Molecular Function: calcium ion binding (GO:0005509), Molecular Function: unfolded protein binding (GO:0051082)","Calreticulin/calnexin (IPR001580), Concanavalin A-like lectin/glucanase (IPR008985), Calreticulin/calnexin, P (IPR009033), Concanavalin A-like lectin/glucanase, subgroup (IPR013320), Calreticulin/calnexin, conserved site (IPR018124)","AK069118 (DDBJ, Best hit)","C5ML26 (UniProt)","-","-","J023008D14","10088","AT5G61790.1","2","protein_coding","calnexin 1","NULL","""calnexin 1 (CNX1); FUNCTIONS IN: unfolded protein binding, calcium ion binding; INVOLVED IN: protein folding; LOCATED IN: in 8 components; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Calreticulin/calnexin, P (InterPro:IPR009033), Calreticulin/calnexin (InterPro:IPR001580), Calreticulin/calnexin, conserved site (InterPro:IPR018124), Concanavalin A-like lectin/glucanase (InterPro:IPR008985), Concanavalin A-like lectin/glucanase, subgroup (InterPro:IPR013320); BEST Arabidopsis thaliana protein match is: Calreticulin family protein (TAIR:AT5G07340.1)""","""ATCNX1,CNX1""","calnexin 1","CNX1","ATCNX1","calnexin 1","calnexin 1 (CNX1)%3B FUNCTIONS IN: unfolded protein binding%2C calcium ion binding%3B INVOLVED IN: protein folding%3B LOCATED IN: in 8 components%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Calreticulin/calnexin%2C P (InterPro:IPR009033)%2C Calreticulin/calnexin (InterPro:IPR001580)%2C Calreticulin/calnexin%2C conserved site (InterPro:IPR018124)%2C Concanavalin A-like lectin/glucanase (InterPro:IPR008985)%2C Concanavalin A-like lectin/glucanase%2C subgroup (InterPro:IPR013320)%3B BEST Arabidopsis thaliana protein match is: Calreticulin family protein (TAIR:AT5G07340.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink).","""PMID:12169696,PMID:12481097,PMID:12566592,PMID:12777046,PMID:12853141,PMID:14671022,PMID:14760709,PMID:15276431,PMID:15295017,PMID:15618420,PMID:15723040,PMID:15894741,PMID:15978049,PMID:16247729,PMID:16287169,PMID:16330523,PMID:16467298,PMID:16635983,PMID:16618929,PMID:16615871,PMID:17432890,PMID:17660356,PMID:18156219,PMID:18650403,PMID:18775970,PMID:18931141,PMID:18849477,PMID:19060110,PMID:21277284,PMID:22115780,locus:2159223""","protein_coding","-","-","-","data"
"Os04t0521700-01","Os04g0521700","Similar to OSIGBa0131L05.9 protein.","-","-","-","-","-","-","-","-","AK073622 (DDBJ, Best hit)","Q01IB2 (UniProt)","-","-","J033049O03","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os04t0578550-00","Os04g0578550","Hypothetical conserved gene.","-","-","-","-","-","-","-","-","CU405845 (DDBJ, Best hit)","A2XWQ0 (UniProt)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os04t0599400-01","Os04g0599400","Scramblase family protein.","-","-","-","-","-","-","-","Scramblase (IPR005552)","AK101885 (DDBJ, Best hit)","Q7FAG0 (UniProt)","-","-","J033070L15","-","AT2G04940.1","2","protein_coding","scramblase-related","NULL","""scramblase-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion, plastid; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Scramblase (InterPro:IPR005552)""","-","scramblase-like protein","-","-","-","scramblase-related%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: mitochondrion%2C plastid%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Scramblase (InterPro:IPR005552)%3B Has 427 Blast hits to 416 proteins in 142 species: Archae - 0%3B Bacteria - 29%3B Metazoa - 228%3B Fungi - 113%3B Plants - 38%3B Viruses - 0%3B Other Eukaryotes - 19 (source: NCBI BLink).","""PMID:16618929,PMID:18775970,locus:2044968""","protein_coding","-","-","-","data"
"Os05t0156500-01","Os05g0156500","Similar to Apobec-1 binding protein 2.","-","-","-","-","OsDjB6, OsERdj3B","ERdj3B-like gene, ERDJ3 like, ERDJ3 like gene, DnaJ domain protein B6, ER-resident J-protein 3B","Biological Process: protein folding (GO:0006457), Molecular Function: unfolded protein binding (GO:0051082)","Chaperone DnaJ, C-terminal (IPR002939), HSP40/DnaJ peptide-binding (IPR008971)","AK062718 (DDBJ, Best hit)","XP_002878466.1 (RefSeq)","-","-","001-106-C11","10089","AT3G62600.1","2","protein_coding","DNAJ heat shock family protein","J domain protein localized in ER lumen. Can partially compensate for the growth defect in jem1 scj1 mutant yeast. Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.","""ATERDJ3B; FUNCTIONS IN: unfolded protein binding, heat shock protein binding; INVOLVED IN: protein folding, PAMP-induced immunity; LOCATED IN: plasma membrane, endoplasmic reticulum lumen; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Molecular chaperone, heat shock protein, Hsp40, DnaJ (InterPro:IPR015609), HSP40/DnaJ peptide-binding (InterPro:IPR008971), Chaperone DnaJ, C-terminal (InterPro:IPR002939), Heat shock protein DnaJ, N-terminal (InterPro:IPR001623), Heat shock protein DnaJ (InterPro:IPR003095), Heat shock protein DnaJ, conserved site (InterPro:IPR018253); BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT3G08910.1)""","""ATERDJ3B,ERDJ3B""","DNAJ heat shock family protein","ATERDJ3B","-","-","ATERDJ3B%3B FUNCTIONS IN: unfolded protein binding%2C heat shock protein binding%3B INVOLVED IN: protein folding%2C PAMP-induced immunity%3B LOCATED IN: plasma membrane%2C endoplasmic reticulum lumen%3B EXPRESSED IN: 23 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Molecular chaperone%2C heat shock protein%2C Hsp40%2C DnaJ (InterPro:IPR015609)%2C HSP40/DnaJ peptide-binding (InterPro:IPR008971)%2C Chaperone DnaJ%2C C-terminal (InterPro:IPR002939)%2C Heat shock protein DnaJ%2C N-terminal (InterPro:IPR001623)%2C Heat shock protein DnaJ (InterPro:IPR003095)%2C Heat shock protein DnaJ%2C conserved site (InterPro:IPR018253)%3B BEST Arabidopsis thaliana protein match is: DNAJ heat shock family protein (TAIR:AT3G08910.1)%3B Has 27934 Blast hits to 27869 proteins in 3473 species: Archae - 187%3B Bacteria - 10337%3B Metazoa - 4624%3B Fungi - 2578%3B Plants - 2760%3B Viruses - 17%3B Other Eukaryotes - 7431 (source: NCBI BLink).","""PMID:12102506,PMID:15894741,PMID:17419845,PMID:18230180,PMID:18650403,PMID:18718935,PMID:18775970,PMID:19763086,PMID:24498907,PMID:25231968,locus:2081725""","protein_coding","J domain protein localized in ER lumen. Can partially compensate for the growth defect in jem1 scj1 mutant yeast. Forms a complex SDF2-ERdj3B-BiP that is required for the proper accumulation of the surface-exposed leucine-rich repeat receptor kinases EFR.  EFR is involved in PAMP (pathogen associated molecular patterns) triggered immunity.","-","-","data"
"Os05t0187800-01","Os05g0187800","Similar to Derlin-1.","-","-","-","-","-","-","-","Derlin (IPR007599)","AK243296 (DDBJ, Best hit)","Q06397 (UniProt)","-","-","J100053G13","-","AT4G29330.1","2","protein_coding","DERLIN-1","NULL","DERLIN-1 (DER1); CONTAINS InterPro DOMAIN/s: Der1-like (InterPro:IPR007599); BEST Arabidopsis thaliana protein match is: DERLIN-2.2 (TAIR:AT4G04860.1)","DER1","DERLIN-1","DER1","-","DERLIN-1","DERLIN-1 (DER1)%3B CONTAINS InterPro DOMAIN/s: Der1-like (InterPro:IPR007599)%3B BEST Arabidopsis thaliana protein match is: DERLIN-2.2 (TAIR:AT4G04860.1)%3B Has 918 Blast hits to 916 proteins in 241 species: Archae - 0%3B Bacteria - 22%3B Metazoa - 340%3B Fungi - 200%3B Plants - 147%3B Viruses - 0%3B Other Eukaryotes - 209 (source: NCBI BLink).","locus:2118294","protein_coding","-","-","-","data"
"Os05t0407100-01","Os05g0407100","Four F5 protein family protein.","-","-","-","-","-","-","-","Uncharacterised protein family SERF (IPR007513)","AK063349 (DDBJ, Best hit)","NP_849375.1 (RefSeq)","-","-","001-114-B11","-","AT4G13615.1","1","protein_coding","Uncharacterised protein family SERF","NULL","Uncharacterised protein family SERF; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family SERF (InterPro:IPR007513); BEST Arabidopsis thaliana protein match is: Uncharacterised protein family SERF (TAIR:AT3G24100.1)","-","Uncharacterized protein family SERF","-","-","-","Uncharacterised protein family SERF%3B CONTAINS InterPro DOMAIN/s: Uncharacterised protein family SERF (InterPro:IPR007513)%3B BEST Arabidopsis thaliana protein match is: Uncharacterised protein family SERF (TAIR:AT3G24100.1)%3B Has 151 Blast hits to 151 proteins in 44 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 66%3B Fungi - 10%3B Plants - 70%3B Viruses - 0%3B Other Eukaryotes - 5 (source: NCBI BLink).","locus:1005716191","protein_coding","-","-","-","data"
